+--------+----------+----------------------+-------------------+
| d_year | brand_id | brand                | ext_price         |
+--------+----------+----------------------+-------------------+
| 1998   | 3004001  | edu packexporti #1   | 9124630.570000026 |
| 1998   | 4001001  | amalgedu pack #1     | 9016223.49        |
| 1998   | 2002001  | importoimporto #1    | 8832427.509999994 |
| 1998   | 3001001  | amalgexporti #1      | 8404706.299999984 |
| 1998   | 1003001  | exportiamalg #1      | 8370312.890000004 |
| 1998   | 1004001  | edu packamalg #1     | 8296530.990000003 |
| 1998   | 4004001  | edu packedu pack #1  | 8053479.370000033 |
| 1998   | 1001001  | amalgamalg #1        | 7726841.789999999 |
| 1998   | 1002001  | importoamalg #1      | 7679926.479999986 |
| 1998   | 3002001  | importoexporti #1    | 7664335.829999987 |
| 1998   | 2003001  | exportiimporto #1    | 7661275.110000006 |
| 1998   | 4003001  | exportiedu pack #1   | 7518305.700000007 |
| 1998   | 4002001  | importoedu pack #1   | 7463840.250000003 |
| 1998   | 2001001  | amalgimporto #1      | 7259414.790000003 |
| 1998   | 3003001  | exportiexporti #1    | 7215593.020000024 |
| 1998   | 5001001  | amalgscholar #1      | 7029720.16000001  |
| 1998   | 5004001  | edu packscholar #1   | 6815667.389999993 |
| 1998   | 5003001  | exportischolar #1    | 6390144.40000001  |
| 1998   | 2004001  | edu packimporto #1   | 5829428.320000021 |
| 1998   | 5003002  | exportischolar #2    | 5449567.329999993 |
| 1998   | 5002001  | importoscholar #1    | 5290016.629999998 |
| 1998   | 1004002  | edu packamalg #2     | 5217845.570000001 |
| 1998   | 2003002  | exportiimporto #2    | 5052124.520000003 |
| 1998   | 2001002  | amalgimporto #2      | 4817403.090000001 |
| 1998   | 1001002  | amalgamalg #2        | 4737812.499999997 |
| 1998   | 3002002  | importoexporti #2    | 4709701.33999999  |
| 1998   | 2004002  | edu packimporto #2   | 4649084.629999998 |
| 1998   | 3001002  | amalgexporti #2      | 4370419.389999988 |
| 1998   | 3003002  | exportiexporti #2    | 4258398.070000004 |
| 1998   | 4004002  | edu packedu pack #2  | 3987426.599999998 |
| 1998   | 3004002  | edu packexporti #2   | 3899398.340000005 |
| 1998   | 5001002  | amalgscholar #2      | 3868224.209999998 |
| 1998   | 1003002  | exportiamalg #2      | 3669779.580000001 |
| 1998   | 4003002  | exportiedu pack #2   | 3647019.59        |
| 1998   | 4002002  | importoedu pack #2   | 3520059.540000001 |
| 1998   | 4001002  | amalgedu pack #2     | 3220784.730000006 |
| 1998   | 1002002  | importoamalg #2      | 2919587.560000002 |
| 1998   | 5004002  | edu packscholar #2   | 2885537.000000001 |
| 1998   | 5002002  | importoscholar #2    | 2882546.190000001 |
| 1998   | 2002002  | importoimporto #2    | 2668090.71        |
| 1998   | 9006005  | corpmaxi #5          | 1393109.709999999 |
| 1998   | 8004005  | edu packnameless #5  | 1316017.21        |
| 1998   | 9003005  | exportimaxi #5       | 1255888.250000001 |
| 1998   | 6005001  | scholarcorp #1       | 1237799.89        |
| 1998   | 7016001  | corpnameless #1      | 1237063.720000001 |
| 1998   | 7001005  | amalgbrand #5        | 1127625.19        |
| 1998   | 6016003  | corpbrand #3         | 1060749.12        |
| 1998   | 8006009  | corpnameless #9      | 1056908.149999999 |
| 1998   | 10003004 | exportiunivamalg #4  | 1048138.2         |
| 1998   | 6003003  | exporticorp #3       | 1041642.89        |
| 1998   | 9014008  | edu packunivamalg #8 | 1014227.95        |
| 1998   | 6003005  | exporticorp #5       | 979911.2700000004 |
| 1998   | 9007002  | brandmaxi #2         | 949219.1000000003 |
| 1998   | 9009002  | maximaxi #2          | 941596.1600000005 |
| 1998   | 9002002  | importomaxi #2       | 938402.8200000004 |
| 1998   | 9007008  | brandmaxi #8         | 928824.0000000002 |
| 1998   | 9011009  | amalgunivamalg #9    | 928810.2999999996 |
| 1998   | 9011008  | amalgunivamalg #8    | 923215.0599999989 |
| 1998   | 6011003  | amalgbrand #3        | 915595.1099999995 |
| 1998   | 8011005  | amalgmaxi #5         | 906683.09         |
| 1998   | 9005009  | scholarmaxi #9       | 891026.8700000002 |
| 1998   | 8004003  | edu packnameless #3  | 888974.0100000002 |
| 1998   | 6012005  | importobrand #5      | 873051.8500000004 |
| 1998   | 7012005  | importonameless #5   | 858377.6000000001 |
| 1998   | 8007003  | brandnameless #3     | 844830.4699999994 |
| 1998   | 7004009  | edu packbrand #9     | 842250.4300000002 |
| 1998   | 9012003  | importounivamalg #3  | 839746.8499999999 |
| 1998   | 9001009  | amalgmaxi #9         | 837489.2700000003 |
| 1998   | 7011001  | amalgnameless #1     | 826076.0000000001 |
| 1998   | 7007004  | brandbrand #4        | 809731.83         |
| 1998   | 9015002  | scholarunivamalg #2  | 808458.5699999996 |
| 1998   | 6014003  | edu packbrand #3     | 802111.3900000004 |
| 1998   | 9006003  | corpmaxi #3          | 801040.1399999995 |
| 1998   | 7012007  | importonameless #7   | 792837.4299999994 |
| 1998   | 9015011  | scholarunivamalg #11 | 790347.5200000004 |
| 1998   | 6013007  | exportibrand #7      | 787659.9900000001 |
| 1998   | 8005005  | scholarnameless #5   | 787592.8100000001 |
| 1998   | 6014007  | edu packbrand #7     | 787334.7900000011 |
| 1998   | 8008003  | namelessnameless #3  | 786714.2300000006 |
| 1998   | 6008007  | namelesscorp #7      | 783156.4199999999 |
| 1998   | 8008007  | namelessnameless #7  | 779454.6100000002 |
| 1998   | 9007011  | brandmaxi #11        | 778934.6999999993 |
| 1998   | 9004008  | edu packmaxi #8      | 777076.2400000005 |
| 1998   | 10002003 | importounivamalg #3  | 775010.7999999992 |
| 1998   | 6010007  | univbrand #7         | 762647.9400000006 |
| 1998   | 7010008  | univnameless #8      | 761469.4799999999 |
| 1998   | 9004005  | edu packmaxi #5      | 755828.1399999997 |
| 1998   | 9013009  | exportiunivamalg #9  | 755690.7400000001 |
