+--------------+-------------------+
| i_manager_id | sum_sales         |
+--------------+-------------------+
| 1            | 6370.220000000001 |
| 1            | 6511.93           |
| 1            | 6515.689999999999 |
| 1            | 6875.580000000001 |
| 1            | 6876.630000000003 |
| 1            | 7261.380000000001 |
| 1            | 7754.9            |
| 1            | 11692.63          |
| 1            | 13482.62000000001 |
| 1            | 16492.11          |
| 1            | 19395.01000000001 |
| 1            | 23173.73000000001 |
| 2            | 2157.45           |
| 2            | 2794.039999999999 |
| 2            | 2970.05           |
| 2            | 2974.089999999999 |
| 2            | 3289.020000000002 |
| 2            | 3569              |
| 2            | 4198.04           |
| 2            | 6394.499999999999 |
| 2            | 7642.070000000002 |
| 2            | 7866.510000000003 |
| 2            | 10026.45000000001 |
| 2            | 10984.4           |
| 3            | 2812.81           |
| 3            | 2971.05           |
| 3            | 3154.4            |
| 3            | 3165.329999999999 |
| 3            | 3390.28           |
| 3            | 3408.75           |
| 3            | 3895.219999999998 |
| 3            | 6468.18           |
| 3            | 7305.599999999999 |
| 3            | 8192.700000000006 |
| 3            | 10314.03          |
| 3            | 10615.9           |
| 4            | 3432.76           |
| 4            | 3720.95           |
| 4            | 3819.400000000001 |
| 4            | 4084.37           |
| 4            | 4099.080000000001 |
| 4            | 4193.089999999999 |
| 4            | 4588.63           |
| 4            | 8584.950000000001 |
| 4            | 9306.700000000001 |
| 4            | 9464.99           |
| 4            | 12296.32999999999 |
| 4            | 14270.17000000001 |
| 5            | 1425.14           |
| 5            | 1642.420000000001 |
| 5            | 1764.03           |
| 5            | 2007.36           |
| 5            | 2156.099999999999 |
| 5            | 2380.43           |
| 5            | 2445.05           |
| 5            | 2977.89           |
| 5            | 3520.659999999999 |
| 5            | 3833.59           |
| 5            | 4120.659999999999 |
| 5            | 5393.599999999998 |
| 6            | 3971.280000000001 |
| 6            | 4256.140000000002 |
| 6            | 5131.93           |
| 6            | 5242.089999999997 |
| 6            | 5417.239999999998 |
| 6            | 5779.840000000002 |
| 6            | 6764.240000000001 |
| 6            | 13038.24999999999 |
| 6            | 13644.39          |
| 6            | 14242.88          |
| 6            | 17465.25999999999 |
| 6            | 18137.15          |
| 8            | 3624.25           |
| 8            | 3840.739999999999 |
| 8            | 4307.4            |
| 8            | 4562.149999999999 |
| 8            | 4911.400000000001 |
| 8            | 5931.56           |
| 8            | 6076.389999999999 |
| 8            | 10723.8           |
| 8            | 11521.75          |
| 8            | 11615.41          |
| 8            | 17065.82999999999 |
| 8            | 17301.77          |
| 9            | 3432.670000000001 |
| 9            | 3465.3            |
| 9            | 3598.75           |
| 9            | 3964.239999999999 |
| 9            | 4015.55           |
| 9            | 4066.499999999998 |
| 9            | 4165.55           |
| 9            | 8471.050000000001 |
| 9            | 8984.219999999994 |
| 9            | 9557.160000000003 |
| 9            | 13851.29          |
| 9            | 15210.32          |
| 10           | 4258.950000000001 |
| 10           | 4295.149999999997 |
| 10           | 4773.61           |
| 10           | 4833.150000000001 |
+--------------+-------------------+
