+---------------+-------------------+
| i_manufact_id | sum_sales         |
+---------------+-------------------+
| 58            | 1227.32           |
| 262           | 1441.36           |
| 211           | 1564.97           |
| 651           | 1573.75           |
| 337           | 1589.26           |
| 137           | 1601.24           |
| 190           | 1607.07           |
| 996           | 1620.44           |
| 462           | 1620.89           |
| 706           | 1666.04           |
| 706           | 1722.52           |
| 94            | 1731.72           |
| 863           | 1734.67           |
| 307           | 1753.300000000001 |
| 128           | 1771.35           |
| 213           | 1772.66           |
| 279           | 1775.920000000001 |
| 82            | 1809.65           |
| 370           | 1838.660000000001 |
| 432           | 1843.980000000001 |
| 8             | 1845.14           |
| 893           | 1869.37           |
| 872           | 1869.39           |
| 103           | 1869.799999999999 |
| 619           | 1874.07           |
| 270           | 1879.5            |
| 17            | 1882.31           |
| 800           | 1885.97           |
| 722           | 1897.11           |
| 41            | 1898.74           |
| 599           | 1906.29           |
| 396           | 1922.27           |
| 206           | 1923.43           |
| 80            | 1926.57           |
| 272           | 1927.01           |
| 975           | 1934.71           |
| 961           | 1936.46           |
| 71            | 1957.65           |
| 264           | 1962.92           |
| 770           | 1963.97           |
| 5             | 1969.94           |
| 167           | 1979.37           |
| 134           | 1987.12           |
| 651           | 1998.67           |
| 17            | 2001.43           |
| 34            | 2001.96           |
| 334           | 2013.89           |
| 48            | 2017.900000000001 |
| 752           | 2018.95           |
| 242           | 2019.85           |
| 73            | 2031.5            |
| 773           | 2032.64           |
| 658           | 2033.38           |
| 126           | 2033.77           |
| 128           | 2036.159999999999 |
| 94            | 2042.99           |
| 140           | 2043.09           |
| 86            | 2043.74           |
| 137           | 2050.45           |
| 446           | 2065.1            |
| 37            | 2072.499999999999 |
| 306           | 2074.66           |
| 594           | 2077.56           |
| 502           | 2078.99           |
| 82            | 2081.08           |
| 383           | 2081.88           |
| 398           | 2083.81           |
| 465           | 2091.18           |
| 374           | 2092.17           |
| 149           | 2092.580000000001 |
| 279           | 2104.96           |
| 599           | 2125.4            |
| 659           | 2130.83           |
| 242           | 2135.48           |
| 163           | 2143.93           |
| 9             | 2145.63           |
| 446           | 2147.63           |
| 264           | 2152.3            |
| 722           | 2160.91           |
| 85            | 2164.75           |
| 405           | 2168.41           |
| 301           | 2169.3            |
| 990           | 2174.01           |
| 485           | 2177.020000000001 |
| 612           | 2178.67           |
| 887           | 2180.02           |
| 100           | 2183.200000000001 |
| 931           | 2184.23           |
| 304           | 2187.27           |
| 36            | 2192.53           |
| 168           | 2192.8            |
| 61            | 2195.26           |
| 231           | 2195.590000000001 |
| 152           | 2198.58           |
| 257           | 2199.54           |
| 259           | 2200.21           |
| 863           | 2202.01           |
| 194           | 2203.6            |
| 68            | 2203.839999999999 |
| 190           | 2209.399999999999 |
+---------------+-------------------+
